ts_iso,tMono_s,kind,accLong_ms2,accLat_ms2,accVert_ms2,lat,lng,speed_ms,gpsAcc_m
2026-05-01T19:10:20.259Z,9560.855839,imu,-0.823314,-0.114927,0.431292,,,,
2026-05-01T19:10:20.269Z,9560.865799,imu,-1.204058,-0.251612,-0.288249,,,,
2026-05-01T19:10:20.279Z,9560.875551,imu,-1.162844,-0.426889,-1.279125,,,,
2026-05-01T19:10:20.289Z,9560.886064,imu,-0.999430,-0.406432,-2.304697,,,,
2026-05-01T19:10:20.299Z,9560.895418,imu,-0.960682,-0.127582,-2.983322,,,,
2026-05-01T19:10:20.309Z,9560.905717,imu,-0.852657,0.092270,-3.145652,,,,
2026-05-01T19:10:20.319Z,9560.915503,imu,-0.578308,0.310948,-2.970573,,,,
2026-05-01T19:10:20.329Z,9560.925645,imu,-0.363582,0.691244,-2.517335,,,,
2026-05-01T19:10:20.339Z,9560.935203,imu,-0.129526,1.049887,-1.546904,,,,
2026-05-01T19:10:20.350Z,9560.946926,imu,0.084912,1.354210,-0.319962,,,,
2026-05-01T19:10:20.359Z,9560.955538,imu,0.252499,1.525979,0.661066,,,,
2026-05-01T19:10:20.369Z,9560.965279,imu,0.327278,1.580162,1.153488,,,,
2026-05-01T19:10:20.379Z,9560.975197,imu,0.288803,1.506873,1.199431,,,,
2026-05-01T19:10:20.389Z,9560.985403,imu,0.105662,1.312844,0.812590,,,,
2026-05-01T19:10:20.398Z,9560.994903,imu,-0.051741,1.009538,0.164432,,,,
2026-05-01T19:10:20.409Z,9561.005388,imu,-0.079498,0.855140,-0.449932,,,,
2026-05-01T19:10:20.418Z,9561.014796,imu,-0.056022,0.688787,-0.700232,,,,
2026-05-01T19:10:20.428Z,9561.025021,imu,0.079936,0.473311,-0.555113,,,,
2026-05-01T19:10:20.438Z,9561.034864,imu,0.236949,0.411641,-0.072378,,,,
2026-05-01T19:10:20.449Z,9561.045194,imu,0.322608,0.498533,0.756854,,,,
2026-05-01T19:10:20.458Z,9561.054608,imu,0.392088,0.575165,1.804620,,,,
2026-05-01T19:10:20.468Z,9561.065057,imu,0.398874,0.523933,2.820303,,,,
2026-05-01T19:10:20.478Z,9561.074446,imu,0.376918,0.387473,3.552185,,,,
2026-05-01T19:10:20.488Z,9561.084823,imu,0.240185,0.261431,3.976105,,,,
2026-05-01T19:10:20.498Z,9561.094739,imu,0.025559,0.067853,4.179337,,,,
