Run,Title,Date,Time,Type,Pickup,MaxPower,MaxEngPower,AvgPower,MaxTorque,MaxEngTorque,AvgTorque,Temperature,Pressure,Humidity,DynoCF,RPM/Speed,R.T.,60ftE.T.,330ftE.T.,1/8E.T.,1/8MPH,1000ftE.T.,1000ftMPH,1/4E.T.,1/4MPH,60MPHE.T.,100MPHE.T.,100KPHE.T.,160KPHE.T.,StartSpeed,EndSpeed,SpeedE.T.,MaxSpeed,Notes,
1,Run #1,05/18/26,12/05,RO,Snapshot,106.7546310425,122.7678298950,92.9589691162,103.9375000000,119.5281219482,109.9740447998,79.9882812500,26.2690428696,48.7329711914,1.1619697342,5.6193332342,0.0000000000,2.1615204811,6.7349514961,10.6892471313,66.4136886597,14.1034440994,76.2863159180,16.9681224823,83.6760101318,8.7243757248,24.2343769073,9.3569450378,23.9537811279,0.0000000000,0.0000000000,0.0000000000,81.3395004272,,

Time,Speed I,Speed II,Distance I,Distance II,RPM,CPM,AF1,Power Accel I,Power Accel,Power I,Power,Power Split I,Roll Speed I,Roll Speed II,Torque Accel I,Torque Accel,Torque I,Torque,Torque Split I,Torque Roll Accel I,Torque Roll(s) Accel,Power Roll(s) Accel,Power Roll Accel I,Torque Roll I,Torque Roll(s),Power Roll I,Power Roll(s),Gear Ratio I,Gear Ratio II,Acceleration I,Acceleration II,            ###Average Piston Speed,Estimated Distance,Estimated Time,
2.9888465405,43.2114944458,0.0000000000,156.2388153076,0.0000000000,3400.0000000000,3400.0004882813,10.3808593750,76.4498596191,76.4498596191,76.4498596191,76.4498596191,1.0000000000,605.0540161133,0.0000000000,118.0950775146,118.0950775146,118.0950775146,118.0950775146,1.0000000000,663.6156005859,663.6156005859,76.4498596191,76.4498596191,663.6156005859,663.6156005859,76.4498596191,76.4498596191,5.6193327904,0.0000000000,5.0023579597,0.0000000000,0.0000000000,2266.6667480469,144.8134307861,4.2925581932,
3.1158843040,43.8469047546,0.0000000000,164.3515625000,0.0000000000,3450.0000000000,3449.9960937500,10.3808593750,77.4445037842,77.4445037842,77.4445037842,77.4445037842,1.0000000000,613.9511108398,0.0000000000,117.8979034424,117.8979034424,117.8979034424,117.8979034424,1.0000000000,662.5075683594,662.5075683594,77.4445037842,77.4445037842,662.5075683594,662.5075683594,77.4445037842,77.4445037842,5.6193399429,0.0000000000,4.9940056801,0.0000000000,0.0000000000,2300.0000000000,155.7887115479,4.4930152893,
3.2435195446,44.4823837280,0.0000000000,172.6215972900,0.0000000000,3500.0000000000,3499.9973144531,10.3808593750,78.0881500244,78.0881500244,78.0881500244,78.0881500244,1.0000000000,622.8491821289,0.0000000000,117.1794662476,117.1794662476,117.1794662476,117.1794662476,1.0000000000,658.4704589844,658.4704589844,78.0881500244,78.0881500244,658.4704589844,658.4704589844,78.0881500244,78.0881500244,5.6193380356,0.0000000000,4.9635734558,0.0000000000,0.0000000000,2333.3332519531,167.1211547852,4.6944150925,
3.3722867966,45.1179580688,0.0000000000,181.0848846436,0.0000000000,3550.0000000000,3550.0061035156,10.3808593750,78.3651809692,78.3651809692,78.3651809692,78.3651809692,1.0000000000,631.7485961914,0.0000000000,115.9386138916,115.9386138916,115.9386138916,115.9386138916,1.0000000000,651.4977416992,651.4977416992,78.3651809692,78.3651809692,651.4977416992,651.4977416992,78.3651809692,78.3651809692,5.6193237305,0.0000000000,4.9110131264,0.0000000000,0.0000000000,2366.6667480469,178.8567504883,4.8976016045,
3.5018751621,45.7533531189,0.0000000000,189.7227478027,0.0000000000,3600.0000000000,3600.0007324219,10.3808593750,79.1132431030,79.1132431030,79.1132431030,79.1132431030,1.0000000000,640.6455078125,0.0000000000,115.4198913574,115.4198913574,115.4198913574,115.4198913574,1.0000000000,648.5828247070,648.5828247070,79.1132431030,79.1132431030,648.5828247070,648.5828247070,79.1132431030,79.1132431030,5.6193323135,0.0000000000,4.8890404701,0.0000000000,0.0000000000,2400.0000000000,190.9677276611,5.1020832062,
3.6322836876,46.3888282776,0.0000000000,198.5367126465,0.0000000000,3650.0000000000,3650.0017089844,10.3808593750,79.7822265625,79.7822265625,79.7822265625,79.7822265625,1.0000000000,649.5435180664,0.0000000000,114.8013992310,114.8013992310,114.8013992310,114.8013992310,1.0000000000,645.1072998047,645.1072998047,79.7822265625,79.7822265625,645.1072998047,645.1072998047,79.7822265625,79.7822265625,5.6193308830,0.0000000000,4.8628416061,0.0000000000,0.0000000000,2433.3332519531,203.4537200928,5.3078589439,
3.7630376816,47.0242309570,0.0000000000,207.4957427979,0.0000000000,3700.0000000000,3699.9970703125,10.3808593750,80.7486801147,80.7486801147,80.7486801147,80.7486801147,1.0000000000,658.4405517578,0.0000000000,114.6220397949,114.6220397949,114.6220397949,114.6220397949,1.0000000000,644.0994873047,644.0994873047,80.7486801147,80.7486801147,644.0994873047,644.0994873047,80.7486801147,80.7486801147,5.6193380356,0.0000000000,4.8552446365,0.0000000000,0.0000000000,2466.6667480469,216.2682647705,5.5141797066,
3.8941926956,47.6597747803,0.0000000000,216.6044311523,0.0000000000,3750.0000000000,3750.0031738281,10.3808593750,81.4186248779,81.4186248779,81.4186248779,81.4186248779,1.0000000000,667.3395385742,0.0000000000,114.0318603516,114.0318603516,114.0318603516,114.0318603516,1.0000000000,640.7830200195,640.7830200195,81.4186248779,81.4186248779,640.7830200195,640.7830200195,81.4186248779,81.4186248779,5.6193284988,0.0000000000,4.8302450180,0.0000000000,0.0000000000,2500.0000000000,229.4139709473,5.7211341858,
4.0263566971,48.2951774597,0.0000000000,225.9060668945,0.0000000000,3800.0000000000,3799.9987792969,10.3808593750,81.7508010864,81.7508010864,81.7508010864,81.7508010864,1.0000000000,676.2365722656,0.0000000000,112.9906845093,112.9906845093,112.9906845093,112.9906845093,1.0000000000,634.9323120117,634.9323120117,81.7508010864,81.7508010864,634.9323120117,634.9323120117,81.7508010864,81.7508010864,5.6193351746,0.0000000000,4.7861423492,0.0000000000,0.0000000000,2533.3332519531,242.9505767822,5.9296798706,
4.1593203545,48.9306564331,0.0000000000,235.3881835938,0.0000000000,3850.0000000000,3849.9997558594,10.3808593750,82.5825729370,82.5825729370,82.5825729370,82.5825729370,1.0000000000,685.1345825195,0.0000000000,112.6579360962,112.6579360962,112.6579360962,112.6579360962,1.0000000000,633.0625000000,633.0625000000,82.5825729370,82.5825729370,633.0625000000,633.0625000000,82.5825729370,82.5825729370,5.6193337440,0.0000000000,4.7720475197,0.0000000000,0.0000000000,2566.6667480469,256.8580932617,6.1394877434,
